Cluster,Age,k,N,Nsys,Z,a,Mc,Mdot,Lw,SNe,WR,WR2
ASCC_107,17.0,3093.9,445,44,0.0142,1e+05,2594.0,3.98e-06,1.54e+34,70,10,0
ASCC_127,18.2,1616.2,230,23,0.0142,1e+05,1397.0,7.65e-06,3.83e+28,5,0,0
ASCC_16,13.5,2323.5,330,33,0.0142,1e+05,2032.0,4.50e-06,8.50e+33,25,5,0
ASCC_19,10.5,2584.6,370,37,0.0142,1e+05,2356.5,6.35e-06,1.03e+34,20,5,0
ASCC_21,8.9,736.6,105,10,0.0142,1e+05,617.5,2.05e-08,2.75e+27,0,0,0
ASCC_32,25.1,8226.4,1175,118,0.0142,1e+05,6103.5,2.75e-05,7.80e+34,290,25,5
ASCC_79,18.6,9637.9,1380,138,0.0142,1e+05,8293.5,7.80e-06,2.20e+34,330,70,15
ASCC_9,29.5,8852.6,1265,126,0.0142,1e+05,6865.5,5.25e-06,1.49e+34,395,70,15
Alessi_18,5.1,4278.7,610,61,0.0142,1e+05,5858.5,2.96e-04,8.75e+34,15,35,25
Alessi_19,25.7,1853.3,265,26,0.0142,1e+05,1652.0,2.47e-06,6.90e+33,80,25,5
Alessi_20,9.3,1909.2,275,28,0.0142,1e+05,2361.5,9.60e-06,8.10e+33,55,15,0
Alessi_43,11.5,7955.4,1140,114,0.0142,1e+05,8045.0,7.40e-05,1.36e+35,180,45,5
Alessi_59,10.0,2844.9,405,40,0.0142,1e+05,2801.0,5.15e-07,1.42e+33,40,5,0
Alessi_Teutsch_5,18.6,4539.8,650,65,0.0142,1e+05,3928.0,4.29e-06,1.14e+34,120,20,5
Andrews_Lindsay_5,1.0,13356.9,1910,191,0.0142,1e+05,19820.5,4.47e-04,1.06e+32,0,0,0
Antalova_2,12.0,2083.3,300,30,0.0142,1e+05,1813.5,5.10e-06,1.31e+34,40,15,5
Aveni_Hunter_1,10.5,1404.4,200,20,0.0142,1e+05,1343.5,2.71e-05,4.17e+34,10,10,5
BDSB30,3.5,702.1,100,10,0.0142,1e+05,626.5,1.69e-07,3.64e+28,0,0,0
BDSB91,14.1,1985.4,285,28,0.0142,1e+05,1520.0,3.63e-08,1.03e+32,55,15,5
BDSB93,15.8,969.6,140,14,0.0142,1e+05,771.5,1.67e-08,4.72e+31,35,15,5
BDSB96,7.9,1487.4,215,22,0.0142,1e+05,1641.5,6.25e-06,1.54e+34,30,15,5
BH_121,2.6,16117.6,2305,230,0.0142,1e+05,22383.0,4.10e-04,5.40e+31,0,0,0
BH_150,21.9,8459.6,1210,121,0.0142,1e+05,6618.0,6.15e-06,3.72e+34,250,45,10
BH_151,15.8,5925.2,850,85,0.0142,1e+05,5346.5,5.65e-05,1.48e+35,120,30,10
BH_205,6.2,6099.2,870,87,0.0142,1e+05,6253.5,6.30e-06,1.68e+34,30,25,10
BH_221,10.7,7103.6,1015,102,0.0142,1e+05,7149.0,2.57e-05,6.70e+34,105,40,15
BH_23,28.8,1211.8,175,18,0.0142,1e+05,911.0,3.70e-07,3.35e+33,30,0,0
BH_245,4.7,7254.8,1040,104,0.0142,1e+05,8320.5,1.42e-04,1.22e+35,25,30,10
BH_54,8.7,6897.3,985,98,0.0142,1e+05,6826.5,2.78e-05,7.00e+34,95,35,10
BH_56,17.8,4457.7,640,64,0.0142,1e+05,3913.0,7.50e-05,2.02e+35,130,35,10
Basel_18,27.5,3136.0,450,45,0.03,1e+05,2516.5,1.66e-06,7.50e+33,130,20,5
Berkeley_14A,9.3,1456.0,210,21,0.0142,1e+05,1554.5,1.56e-07,4.40e+32,45,10,5
Berkeley_15,18.6,15651.0,2240,224,0.0142,1e+05,13664.0,1.32e-05,7.20e+34,435,65,10
Berkeley_4,21.4,6872.9,985,98,0.0142,1e+05,5797.0,1.50e-05,7.60e+34,195,40,10
