Cluster,Age,k,N,Nsys,Z,bin_frac,Mc,Mdot,Lw,SNe,WR,WR2
ASCC_107,17.0,3093.9,457,46,0.0254,0.7963,172.0,4.60e-12,9.45e+22,0,0,0
ASCC_127,18.2,1616.2,239,24,0.014,0.42162,303.0,2.45e-10,1.05e+25,5,0,0
ASCC_16,13.5,2323.5,343,34,0.0215,0.40748,204.5,3.41e-10,1.47e+25,0,0,0
ASCC_19,10.5,2584.6,382,38,0.0142,0.3,172.5,7.45e-11,3.08e+24,0,0,0
ASCC_21,8.9,736.6,109,11,0.0108,0.2716,51.5,2.01e-12,7.15e+22,0,0,0
ASCC_32,25.1,8226.4,1215,122,0.0142,0.3,519.0,2.34e-11,6.60e+28,10,5,0
ASCC_79,18.6,9637.9,1424,142,0.0142,0.3,896.5,3.77e-09,3.33e+26,5,0,0
ASCC_9,29.5,8852.6,1308,131,0.0111,0.57914,883.5,9.65e-09,5.40e+26,0,0,0
Alessi_18,5.1,4278.7,632,63,0.0142,0.3,378.0,9.50e-08,1.86e+28,0,0,0
Alessi_19,25.7,1853.3,274,27,0.0142,0.3,163.0,9.90e-09,7.70e+26,0,0,0
Alessi_20,9.3,1909.2,282,28,0.0142,0.3,211.0,2.03e-10,8.50e+24,0,0,0
Alessi_43,11.5,7955.4,1175,118,0.0142,0.3,993.5,6.45e-08,8.50e+27,0,0,0
Alessi_59,10.0,2844.9,420,42,0.0142,0.3,139.5,1.79e-12,3.36e+22,0,0,0
Alessi_Teutsch_5,18.6,4539.8,671,67,0.0142,0.3,309.0,1.90e-09,1.31e+26,0,0,0
Andrews_Lindsay_5,1.0,13356.9,1973,197,0.0142,0.3,1062.0,6.45e-09,1.39e+27,0,0,0
Antalova_2,12.0,2083.3,308,31,0.0148,0.60526,138.0,2.81e-12,4.84e+22,0,0,0
Aveni_Hunter_1,10.5,1404.4,207,21,0.0142,0.3,78.0,2.71e-13,6.65e+21,0,0,0
BDSB30,3.5,702.1,104,10,0.0142,0.3,36.0,0.00e+00,0.00e+00,0,0,0
BDSB91,14.1,1985.4,293,29,0.0142,0.3,147.5,4.52e-12,9.40e+22,0,0,0
BDSB93,15.8,969.6,143,14,0.0142,0.3,78.5,4.53e-13,1.33e+22,0,0,0
BDSB96,7.9,1487.4,220,22,0.0143,0.54545,143.0,4.18e-12,1.52e+23,0,0,0
BH_121,2.6,16117.6,2381,238,0.0142,0.3,1408.0,1.27e-07,2.92e+28,0,0,0
BH_150,21.9,8459.6,1250,125,0.0142,0.3,581.5,5.15e-10,2.16e+25,0,0,0
BH_151,15.8,5925.2,875,88,0.0142,0.3,577.0,3.51e-06,8.05e+26,10,0,0
BH_205,6.2,6099.2,901,90,0.02,0.60033,920.0,6.90e-09,9.55e+26,0,0,0
BH_221,10.7,7103.6,1049,105,0.0142,0.3,642.5,2.34e-09,1.58e+26,0,0,0
BH_23,28.8,1211.8,179,18,0.0138,0.53614,130.0,4.75e-09,2.78e+26,0,0,0
BH_245,4.7,7254.8,1072,107,0.0142,0.3,880.5,9.85e-07,1.67e+29,0,0,0
BH_54,8.7,6897.3,1019,102,0.0142,0.3,617.0,2.61e-09,1.79e+26,0,0,0
BH_56,17.8,4457.7,659,66,0.0142,0.3,389.5,4.66e-06,2.40e+28,5,0,0
Basel_18,27.5,3136.0,463,46,0.0176,0.61538,277.0,1.70e-11,5.30e+23,0,0,0
Berkeley_14A,9.3,1456.0,215,22,0.0142,0.3,130.0,7.20e-11,2.97e+24,0,0,0
Berkeley_15,18.6,15651.0,2312,231,0.0103,0.57547,1229.0,1.09e-08,1.15e+27,0,0,0
Berkeley_4,21.4,6872.9,1015,102,0.0104,0.54545,504.0,9.10e-11,3.52e+24,0,0,0
Berkeley_47,21.9,9180.3,1356,136,0.0212,0.76667,654.0,1.59e-11,4.50e+28,10,5,0
Berkeley_59,1.3,17007.6,2513,251,0.0142,0.3,1471.5,7.65e-07,2.00e+29,0,0,0
Berkeley_62,14.8,9324.2,1378,138,0.0106,0.63425,744.5,3.27e-09,9.25e+30,10,0,0
Berkeley_63,18.2,8917.3,1317,132,0.0142,0.3,682.0,9.45e-10,4.05e+25,0,0,0
Berkeley_86,11.0,2569.0,380,38,0.0126,0.70229,204.5,2.38e-09,2.49e+26,0,0,0
Berkeley_87,8.3,17298.2,2556,256,0.016,0.69112,1363.5,3.93e-08,6.65e+27,0,0,0
Berkeley_90,5.1,10704.6,1582,158,0.0142,0.3,841.5,4.81e-07,8.75e+28,0,0,0
Berkeley_94,15.5,6233.8,921,92,0.0108,0.58947,324.0,8.30e-12,2.00e+23,0,0,0
Berkeley_95,12.0,4349.8,643,64,0.0142,0.3,301.5,6.00e-10,2.82e+25,0,0,0
Berkeley_97,15.1,7552.1,1116,112,0.0114,0.65766,684.5,1.66e-08,1.93e+27,0,0,0
Bica_3,15.8,10629.5,1570,157,0.0142,0.3,794.0,3.24e-09,2.72e+31,10,0,0
Biurakan_2,9.3,4108.6,607,61,0.0151,0.73494,227.0,1.79e-10,7.95e+24,0,0,0
Bochum_11,6.3,4890.0,722,72,0.0142,0.3,524.0,1.61e-07,2.83e+28,0,0,0
Bochum_13,8.9,6718.0,993,99,0.0142,0.3,534.5,3.78e-09,5.15e+26,0,0,0
Bochum_6,6.5,6679.9,987,99,0.0142,0.3,456.0,1.38e-10,6.05e+24,0,0,0
COIN-Gaia_16,25.7,1992.5,294,29,0.0142,0.3,261.0,4.37e-08,2.39e+27,5,0,0
COIN-Gaia_21,28.2,2511.4,371,37,0.0133,0.62687,326.5,1.56e-08,4.41e+31,10,10,0
Collinder_106,24.5,6671.6,986,99,0.0142,0.3,364.0,1.83e-10,7.50e+24,0,0,0
Collinder_107,18.2,8303.4,1227,123,0.0142,0.3,747.0,6.35e-05,1.79e+35,10,5,0
Collinder_132,24.5,2879.6,425,42,0.0142,0.3,194.5,5.50e-10,2.39e+25,5,5,0
Collinder_135,26.3,4505.3,666,67,0.0142,0.3,381.0,2.59e-06,1.29e+28,5,0,0
Collinder_140,26.9,1991.7,294,29,0.014,0.33696,116.5,7.45e-11,2.94e+24,0,0,0
Collinder_197,14.1,6910.5,1021,102,0.0142,0.3,434.0,1.21e-11,2.47e+23,0,0,0
Collinder_205,4.6,7513.7,1110,111,0.015,0.72414,772.0,3.34e-08,6.80e+27,0,0,0
Collinder_419,19.5,2083.3,308,31,0.0128,0.39437,226.5,1.76e-07,1.25e+28,0,0,0
Collinder_469,9.5,5186.6,766,77,0.0142,0.3,481.5,1.79e-07,4.93e+32,10,5,0
Collinder_69,12.6,7868.1,1162,116,0.0142,0.3,691.0,7.70e-09,1.15e+27,0,0,0
Collinder_95,19.1,2262.1,334,33,0.011,0.46888,226.5,4.50e-09,3.67e+26,0,0,0
Czernik_31,29.5,6949.1,1027,103,0.0101,0.67033,598.5,5.30e-11,1.93e+24,0,0,0
Czernik_40,25.1,13244.7,1957,196,0.0142,0.3,1083.0,5.20e-05,4.20e+27,10,5,0
Czernik_41,12.9,28432.7,4201,420,0.0142,0.3,2620.0,4.56e-07,6.20e+28,5,5,0
Czernik_6,28.2,2863.7,423,42,0.0113,0.7,192.0,2.15e-11,7.90e+23,0,0,0
DB2001_22,17.2,2362.8,349,35,0.0142,0.3,211.0,0.00e+00,0.00e+00,10,5,0
