Cluster,M1,M2,a
ASCC_107,1.221e-01,8.392e-02,1.250e+01
ASCC_107,5.043e-01,2.100e-01,1.898e-01
ASCC_107,2.925e-01,2.138e-01,2.432e-01
ASCC_107,6.527e-01,5.598e-01,1.831e-02
ASCC_107,1.974e-01,1.788e-01,1.000e+05
ASCC_107,3.454e-01,3.070e-01,1.000e+05
ASCC_107,6.436e-01,4.949e-01,6.041e-02
ASCC_107,4.129e-01,1.574e-01,2.110e+00
ASCC_107,4.313e-01,3.348e-01,1.125e+00
ASCC_107,5.867e-01,1.918e-01,6.260e-01
ASCC_107,4.619e-01,4.345e-01,2.629e+00
ASCC_107,2.167e-01,1.494e-01,1.094e-01
ASCC_107,7.626e-01,5.475e-01,2.574e+01
ASCC_107,3.317e-01,2.531e-01,3.103e+00
ASCC_107,2.551e-01,1.447e-01,3.171e-02
ASCC_107,2.814e-01,8.064e-02,4.991e-01
ASCC_107,6.712e-01,3.084e-01,1.767e-02
ASCC_107,1.845e+00,8.653e-01,2.900e-01
ASCC_107,1.103e-01,9.218e-02,2.644e+00
ASCC_107,4.460e-01,1.839e-01,5.614e-01
ASCC_107,1.917e+00,9.332e-01,5.848e+00
ASCC_107,2.641e-01,2.035e-01,1.239e+01
ASCC_107,8.963e-02,8.059e-02,4.371e-02
ASCC_107,5.738e-01,3.577e-01,5.390e+00
ASCC_107,6.628e-01,4.974e-01,3.542e+00
ASCC_107,1.205e-01,8.709e-02,1.000e+05
ASCC_107,9.516e-02,8.263e-02,4.268e-01
ASCC_107,2.232e-01,1.391e-01,7.993e+00
ASCC_107,1.186e-01,1.077e-01,1.156e-01
ASCC_107,2.092e-01,1.106e-01,2.303e+01
ASCC_107,2.492e-01,2.200e-01,1.149e-01
ASCC_107,8.191e-02,8.046e-02,4.662e-02
ASCC_107,9.363e-02,8.296e-02,4.375e-01
ASCC_107,1.685e-01,1.471e-01,1.217e-01
ASCC_107,3.317e-01,2.276e-01,3.358e+00
ASCC_107,2.885e-01,1.771e-01,7.352e-01
ASCC_107,7.150e-01,2.407e-01,6.945e-01
ASCC_107,5.305e-01,1.648e-01,1.000e+05
ASCC_107,5.123e-01,3.827e-01,1.000e+05
ASCC_107,2.646e+00,1.851e+00,2.090e-01
ASCC_107,5.825e-01,5.208e-01,1.000e+05
ASCC_107,3.095e-01,9.454e-02,4.312e+00
ASCC_107,1.723e-01,1.667e-01,1.695e+01
ASCC_107,2.682e-01,1.200e-01,5.447e+00
ASCC_107,1.813e-01,1.694e-01,1.197e-01
ASCC_107,2.144e-01,1.736e-01,6.789e-02
ASCC_127,8.399e-01,3.993e-01,1.214e-01
ASCC_127,1.912e-01,1.520e-01,4.972e-02
ASCC_127,1.593e-01,1.034e-01,1.000e+05
ASCC_127,1.133e+00,3.280e-01,1.000e+05
ASCC_127,1.099e-01,1.002e-01,5.832e-01
ASCC_127,3.808e-01,3.321e-01,1.000e+05
ASCC_127,1.552e+01,2.694e+00,1.000e+05
ASCC_127,8.696e-02,8.393e-02,6.190e+00
ASCC_127,7.125e-01,9.436e-02,1.000e+05
ASCC_127,4.060e-01,1.232e-01,1.000e+05
ASCC_127,1.628e-01,9.995e-02,6.993e-01
ASCC_127,3.299e-01,3.174e-01,1.085e-01
ASCC_127,1.606e-01,1.228e-01,1.000e+05
ASCC_127,1.738e+00,1.554e+00,1.187e-01
ASCC_127,2.541e-01,9.004e-02,1.419e-02
ASCC_127,1.030e+00,4.575e-01,1.834e+01
ASCC_127,2.135e-01,1.541e-01,9.045e-01
ASCC_127,1.304e-01,9.095e-02,4.494e-01
ASCC_127,5.184e+00,2.925e+00,1.000e+05
ASCC_127,2.733e-01,2.587e-01,5.041e+00
ASCC_127,2.577e-01,2.382e-01,6.480e+00
ASCC_127,3.343e-01,9.892e-02,1.000e+05
ASCC_127,1.824e+01,1.547e+01,1.244e-01
ASCC_127,4.570e-01,4.292e-01,1.000e+05
ASCC_16,9.528e-02,8.277e-02,1.000e+05
ASCC_16,2.308e+00,2.096e+00,1.475e+00
ASCC_16,2.741e-01,1.045e-01,3.576e-01
ASCC_16,9.167e-02,8.386e-02,1.009e+00
ASCC_16,1.827e-01,1.278e-01,1.000e+05
ASCC_16,1.338e-01,8.773e-02,1.000e+05
ASCC_16,5.281e+00,2.130e+00,5.235e+00
ASCC_16,1.145e+00,1.044e+00,1.000e+05
ASCC_16,1.257e+00,1.209e+00,1.000e+05
ASCC_16,1.969e-01,1.147e-01,1.955e-02
ASCC_16,9.396e-01,8.575e-01,2.200e+00
ASCC_16,8.716e-02,8.458e-02,1.000e+05
ASCC_16,3.699e-01,2.971e-01,1.492e+01
ASCC_16,1.444e-01,8.553e-02,1.418e-01
ASCC_16,4.397e+00,3.104e+00,1.000e+05
ASCC_16,2.172e-01,1.574e-01,1.000e+05
ASCC_16,8.292e-01,6.567e-01,1.000e+05
ASCC_16,5.359e-01,1.227e-01,6.105e-02
ASCC_16,1.751e-01,1.053e-01,1.797e+00
ASCC_16,2.165e-01,1.126e-01,9.737e-02
ASCC_16,3.771e-01,1.733e-01,7.484e-02
ASCC_16,2.032e-01,1.889e-01,2.536e-02
ASCC_16,1.874e-01,1.634e-01,2.845e+01
ASCC_16,9.322e-01,8.744e-01,4.139e-01
ASCC_16,6.995e-01,3.409e-01,7.014e-01
ASCC_16,4.996e-01,2.877e-01,1.000e+05
ASCC_16,6.270e-01,5.751e-01,1.000e+05
ASCC_16,5.348e-01,1.503e-01,1.000e+05
ASCC_16,5.114e-01,3.092e-01,1.128e-01
ASCC_16,2.259e-01,1.899e-01,1.000e+05
ASCC_16,4.195e-01,8.480e-02,1.000e+05
ASCC_16,1.250e-01,9.508e-02,2.960e-01
ASCC_16,1.193e-01,1.051e-01,1.000e+05
ASCC_16,2.265e-01,1.721e-01,2.608e-01
ASCC_19,2.777e-01,1.176e-01,1.000e+05
ASCC_19,1.849e-01,1.188e-01,7.810e+00
ASCC_19,5.835e-01,5.426e-01,1.445e+01
ASCC_19,2.137e-01,2.100e-01,1.000e+05
ASCC_19,8.631e-02,8.126e-02,8.688e-01
ASCC_19,5.608e-01,2.697e-01,4.359e-02
ASCC_19,4.141e-01,8.656e-02,1.000e+05
ASCC_19,1.128e-01,9.638e-02,1.000e+05
ASCC_19,1.337e-01,1.197e-01,1.811e-02
ASCC_19,3.394e-01,1.120e-01,3.314e-02
ASCC_19,5.212e-01,1.529e-01,1.000e+05
ASCC_19,2.478e-01,1.856e-01,1.000e+05
ASCC_19,2.046e-01,1.630e-01,6.834e+00
ASCC_19,1.764e-01,1.299e-01,1.000e+05
ASCC_19,9.201e-02,8.311e-02,1.000e+05
ASCC_19,1.051e+00,7.548e-01,5.247e+00
ASCC_19,2.649e-01,2.255e-01,3.955e-02
ASCC_19,9.497e-01,4.148e-01,1.126e+00
ASCC_19,8.826e-01,7.571e-01,1.000e+05
ASCC_19,1.257e+00,1.056e-01,4.012e-01
ASCC_19,5.712e-01,2.362e-01,1.000e+05
ASCC_19,2.440e-01,1.572e-01,1.000e+05
ASCC_19,4.210e-01,1.560e-01,4.638e-02
ASCC_19,1.908e-01,1.560e-01,1.000e+05
ASCC_19,1.030e+00,6.114e-01,1.000e+05
ASCC_19,1.312e-01,1.075e-01,1.000e+05
ASCC_19,4.031e-01,2.281e-01,4.353e+00
ASCC_19,2.609e-01,1.141e-01,1.000e+05
ASCC_19,8.448e-02,8.078e-02,1.000e+05
ASCC_19,1.236e-01,8.110e-02,8.547e-02
ASCC_19,4.183e+00,3.872e+00,1.000e+05
ASCC_19,3.594e-01,2.365e-01,1.000e+05
ASCC_19,3.146e-01,2.332e-01,1.703e+01
ASCC_19,9.960e-01,6.100e-01,1.000e+05
ASCC_19,1.450e-01,9.210e-02,1.633e-02
ASCC_19,1.820e-01,1.548e-01,9.055e-01
ASCC_19,2.848e+00,3.311e-01,1.000e+05
ASCC_19,8.021e-01,5.034e-01,1.000e+05
ASCC_21,1.231e-01,1.010e-01,1.000e+05
ASCC_21,2.622e-01,1.403e-01,1.000e+05
ASCC_21,9.468e-01,6.274e-01,8.336e-02
ASCC_21,2.772e+00,4.435e-01,1.000e+05
ASCC_21,9.793e-01,8.891e-01,1.000e+05
ASCC_21,9.968e-02,9.853e-02,1.581e-01
ASCC_21,3.471e-01,2.527e-01,2.854e+01
ASCC_21,4.617e-01,2.491e-01,1.000e+05
ASCC_21,1.411e-01,1.333e-01,3.477e-02
ASCC_21,6.136e-01,2.008e-01,1.000e+05
ASCC_21,2.304e-01,1.769e-01,1.000e+05
ASCC_32,9.416e-01,8.742e-01,1.000e+05
ASCC_32,4.029e-01,1.153e-01,1.000e+05
ASCC_32,5.740e-01,5.315e-01,7.112e-01
ASCC_32,2.307e-01,1.936e-01,1.000e+05
ASCC_32,3.109e-01,2.740e-01,3.103e-01
ASCC_32,1.821e-01,1.497e-01,1.000e+05
ASCC_32,1.700e-01,1.432e-01,2.086e-01
ASCC_32,2.234e-01,1.283e-01,1.065e-02
ASCC_32,1.592e-01,1.198e-01,1.000e+05
ASCC_32,1.376e-01,1.092e-01,7.022e-01
ASCC_32,2.586e-01,1.648e-01,1.000e+05
ASCC_32,6.957e-01,6.516e-01,2.320e-01
ASCC_32,1.585e-01,1.009e-01,1.000e+05
ASCC_32,1.275e+00,9.532e-02,1.000e+05
ASCC_32,6.161e-01,2.603e-01,7.107e+00
ASCC_32,8.828e-02,8.300e-02,1.000e+05
ASCC_32,1.934e-01,1.304e-01,6.462e-01
ASCC_32,8.461e-01,4.029e-01,1.000e+05
ASCC_32,3.397e-01,1.941e-01,1.000e+05
ASCC_32,1.468e-01,1.345e-01,1.000e+05
ASCC_32,5.769e-01,3.340e-01,1.000e+05
ASCC_32,1.313e-01,8.327e-02,1.817e-01
ASCC_32,1.240e-01,8.502e-02,1.256e-02
ASCC_32,1.294e-01,1.021e-01,1.529e-01
ASCC_32,5.681e-01,4.994e-01,1.231e-01
ASCC_32,4.919e-01,3.343e-01,1.000e+05
ASCC_32,3.379e-01,1.547e-01,2.891e-01
ASCC_32,1.688e-01,1.519e-01,1.934e-02
ASCC_32,3.373e-01,1.852e-01,8.044e-02
ASCC_32,1.296e-01,8.136e-02,1.263e+01
ASCC_32,3.099e-01,9.596e-02,6.771e+00
ASCC_32,1.485e-01,1.471e-01,1.000e+05
ASCC_32,1.117e-01,8.551e-02,1.000e+05
ASCC_32,1.768e+00,1.071e+00,2.394e-02
ASCC_32,1.307e-01,9.349e-02,1.289e+00
ASCC_32,8.744e-02,8.030e-02,1.000e+05
ASCC_32,1.900e-01,8.789e-02,1.000e+05
ASCC_32,2.488e-01,1.300e-01,5.177e-01
ASCC_32,1.036e-01,8.044e-02,1.000e+05
ASCC_32,1.971e-01,1.500e-01,6.097e-02
ASCC_32,1.249e-01,9.251e-02,2.908e-01
ASCC_32,5.837e-01,1.915e-01,1.000e+05
ASCC_32,1.587e+00,7.647e-01,5.732e-02
ASCC_32,5.669e-01,2.746e-01,1.000e+05
ASCC_32,3.507e-01,3.217e-01,1.495e+00
ASCC_32,1.053e-01,9.149e-02,1.000e+05
ASCC_32,2.396e+00,8.929e-01,1.000e+05
ASCC_32,1.594e-01,1.393e-01,1.000e+05
ASCC_32,8.085e-02,8.075e-02,1.000e+05
ASCC_32,1.178e-01,9.735e-02,1.000e+05
ASCC_32,2.141e-01,1.718e-01,3.586e-02
ASCC_32,1.768e+00,1.110e+00,1.000e+05
ASCC_32,6.595e-01,5.456e-01,1.940e+01
ASCC_32,2.162e-01,1.592e-01,1.000e+05
ASCC_32,2.294e-01,2.136e-01,2.224e-01
ASCC_32,2.019e-01,1.202e-01,1.380e-02
ASCC_32,2.840e-01,2.242e-01,1.000e+05
ASCC_32,8.730e-02,8.611e-02,2.306e+00
ASCC_32,7.008e-01,2.560e-01,1.222e+00
ASCC_32,4.903e-01,4.321e-01,1.000e+05
ASCC_32,1.153e-01,1.128e-01,2.998e-02
ASCC_32,3.128e+01,2.770e+01,1.080e+01
ASCC_32,1.930e-01,1.027e-01,1.000e+05
ASCC_32,1.515e+00,8.167e-01,2.998e+00
ASCC_32,2.016e-01,8.904e-02,1.000e+05
ASCC_32,1.333e-01,1.099e-01,7.855e+00
ASCC_32,2.557e-01,2.076e-01,1.000e+05
ASCC_32,4.709e-01,4.402e-01,1.114e-01
ASCC_32,8.725e-02,8.356e-02,4.130e-02
ASCC_32,1.237e-01,8.743e-02,1.000e+05
ASCC_32,4.519e-01,2.254e-01,1.000e+05
