Cluster,Age,k,N,Nsys,Z,bin_frac,Mc,Mdot,Lw,SNe,WR,WR2
ASCC_107,24.32,10127.9,1496,150,0.0254,0.7963,664.0,9.90e-10,4.85e+25,0,0,0
ASCC_127,18.2,8184.5,1209,121,0.014,0.42162,696.5,4.10e-09,1.16e+31,15,10,0
ASCC_19,10.5,1810.9,268,27,0.0142,0.3,120.5,3.33e-13,8.85e+21,0,0,0
ASCC_21,8.9,1774.9,262,26,0.0108,0.2716,127.0,3.27e-11,1.27e+24,0,0,0
ASCC_79,18.6,14240.9,2104,210,0.0142,0.3,1217.0,2.33e-07,1.37e+28,5,0,0
ASCC_9,29.5,30293.7,4476,448,0.0111,0.57914,2315.0,1.41e-08,1.21e+32,10,0,0
Alessi_20,9.3,6539.2,966,97,0.0142,0.3,606.5,9.65e-09,1.41e+27,0,0,0
Alessi_43,11.5,18654.3,2756,276,0.0142,0.3,1596.0,2.13e-08,2.80e+27,0,0,0
Antalova_2,12.0,9206.7,1360,136,0.0148,0.60526,935.0,2.03e-07,3.18e+28,10,10,0
BH_151,15.8,75621.6,11172,1117,0.0142,0.3,6265.5,8.45e-08,2.39e+32,15,5,0
BH_221,10.7,94228.8,13921,1392,0.0142,0.3,7699.0,1.39e-05,2.87e+34,20,15,5
BH_23,28.8,31947.3,4720,472,0.0138,0.53614,2681.0,1.45e-08,8.20e+26,0,0,0
BH_245,6.9,95371.1,14090,1409,0.0142,0.3,9113.5,5.25e-06,4.70e+29,5,5,0
BH_54,8.7,65308.0,9649,965,0.0142,0.3,5588.5,2.23e-07,3.56e+28,0,0,0
BH_56,17.8,9059.0,1338,134,0.0142,0.3,887.0,9.80e-10,2.78e+30,15,10,0
Berkeley_4,21.4,117798.9,17404,1740,0.0104,0.54545,10166.0,5.75e-07,3.67e+33,40,25,5
Berkeley_47,21.9,101386.8,14979,1498,0.0212,0.76667,8838.0,4.45e-05,1.05e+35,65,50,0
Berkeley_59,5.02,125631.1,18561,1856,0.0142,0.3,12383.5,8.35e-05,1.99e+31,0,0,0
Berkeley_62,19.18,65912.4,9738,974,0.0106,0.63425,6211.0,1.21e-07,3.44e+32,40,25,10
Berkeley_86,11.0,12186.2,1800,180,0.0126,0.70229,929.0,2.13e-10,9.00e+24,0,0,0
Berkeley_87,8.3,80302.8,11864,1186,0.016,0.69112,7133.5,5.85e-07,8.60e+28,15,5,0
Berkeley_90,7.52,98386.7,14536,1454,0.0142,0.3,8699.5,5.05e-06,7.20e+29,0,0,0
Berkeley_94,15.5,68406.3,10106,1011,0.0108,0.58947,4976.5,5.75e-08,6.45e+27,5,0,0
Berkeley_95,26.15,509499.0,75274,7527,0.0142,0.3,43004.5,3.23e-05,9.15e+34,125,55,15
Biurakan_2,9.3,10321.2,1525,152,0.0151,0.73494,878.5,2.60e-06,4.78e+29,5,5,0
Bochum_13,8.9,57858.8,8548,855,0.0142,0.3,4664.5,5.25e-06,2.84e+28,5,5,0
COIN-Gaia_16,25.7,14057.6,2077,208,0.0142,0.3,1230.5,3.20e-08,9.10e+31,30,30,10
COIN-Gaia_21,28.2,16370.2,2419,242,0.0133,0.62687,1201.5,2.51e-10,2.40e+30,15,0,0
Collinder_106,24.5,10133.1,1497,150,0.0142,0.3,734.5,2.11e-09,9.20e+25,0,0,0
Collinder_107,18.2,10600.4,1566,157,0.0142,0.3,697.5,1.57e-10,6.35e+24,0,0,0
Collinder_132,24.5,2873.8,425,42,0.0142,0.3,179.5,6.10e-10,2.54e+25,0,0,0
Collinder_135,29.83,4388.8,648,65,0.0142,0.3,310.5,3.28e-09,1.69e+26,0,0,0
Collinder_140,26.9,7392.9,1092,109,0.014,0.33696,499.5,2.04e-11,6.45e+23,5,0,0
Collinder_197,14.1,22328.0,3299,330,0.0142,0.3,1520.5,1.17e-09,8.10e+25,0,0,0
Collinder_205,4.6,39017.8,5765,576,0.015,0.72414,4503.5,1.19e-05,1.53e+30,0,0,0
Collinder_419,19.5,85595.0,12646,1265,0.0128,0.39437,6324.0,5.40e-08,1.52e+32,20,15,5
Collinder_69,12.6,22295.7,3294,329,0.0142,0.3,1968.0,2.56e-08,1.02e+32,25,20,5
Collinder_95,19.1,10566.4,1561,156,0.011,0.46888,828.5,9.05e-09,7.60e+26,0,0,0
Czernik_41,26.88,475180.4,70204,7020,0.0142,0.3,39856.5,1.71e-05,6.65e+34,145,35,0
