Cluster,M1,M2,a
ASCC_107,9.581e-01,1.277e-01,4.196e-01
ASCC_107,2.520e-01,2.321e-01,1.000e+05
ASCC_107,4.290e-01,3.521e-01,4.215e-01
ASCC_107,6.545e-01,3.142e-01,4.001e+00
ASCC_107,5.251e-01,5.064e-01,2.962e-02
ASCC_107,2.735e-01,2.436e-01,1.826e-02
ASCC_107,1.248e-01,1.229e-01,3.621e-02
ASCC_107,1.275e-01,1.059e-01,1.258e-01
ASCC_107,3.848e+00,1.500e+00,4.818e+00
ASCC_107,1.602e-01,1.283e-01,6.668e-01
ASCC_107,7.592e-01,1.571e-01,7.006e-02
ASCC_107,3.467e-01,2.450e-01,3.279e+00
ASCC_107,3.105e-01,1.314e-01,2.881e-01
ASCC_107,2.830e-01,1.136e-01,5.931e-02
ASCC_107,1.922e-01,1.798e-01,1.205e-02
ASCC_107,1.367e-01,1.337e-01,3.689e+00
ASCC_107,2.428e-01,1.783e-01,3.317e-02
ASCC_107,1.117e+00,2.474e-01,4.975e-01
ASCC_107,1.210e-01,1.134e-01,2.668e+01
ASCC_107,8.783e-01,5.626e-01,1.587e+01
ASCC_107,6.600e-01,6.238e-01,2.581e-01
ASCC_107,9.205e-02,9.205e-02,1.725e-01
ASCC_107,1.779e-01,1.212e-01,1.187e-02
ASCC_107,1.301e-01,1.045e-01,4.489e-01
ASCC_107,1.834e+00,4.303e-01,9.349e-01
ASCC_107,4.169e+00,1.167e+00,2.124e-01
ASCC_107,1.350e-01,1.176e-01,3.286e+00
ASCC_107,1.980e-01,1.573e-01,7.200e+00
ASCC_107,1.008e+00,6.898e-01,1.000e+05
ASCC_107,1.392e+00,9.589e-01,3.672e-02
ASCC_107,3.125e-01,1.674e-01,3.023e+00
ASCC_107,1.676e-01,1.614e-01,6.632e+00
ASCC_107,3.826e-01,2.499e-01,1.302e-01
ASCC_107,5.652e-01,1.725e-01,6.801e+00
ASCC_107,5.474e-01,4.112e-01,1.606e+01
ASCC_107,1.716e-01,1.705e-01,4.845e-02
ASCC_107,2.471e-01,2.054e-01,2.071e-02
ASCC_107,4.240e-01,1.627e-01,1.902e-01
ASCC_107,6.073e-01,2.076e-01,1.308e-02
ASCC_107,3.289e-01,2.806e-01,1.653e-01
ASCC_107,2.784e-01,2.071e-01,1.505e-02
ASCC_107,2.622e-01,1.166e-01,3.594e-01
ASCC_107,9.508e-02,9.508e-02,2.181e-01
ASCC_107,9.835e-02,9.835e-02,1.101e-01
ASCC_107,1.212e+00,1.202e+00,1.203e-01
ASCC_107,1.189e-01,1.177e-01,2.901e-01
ASCC_107,7.635e-01,4.123e-01,1.542e+00
ASCC_107,5.684e-01,4.395e-01,1.560e-01
ASCC_107,7.004e-01,4.424e-01,1.458e+00
ASCC_107,1.417e-01,1.093e-01,1.656e+01
ASCC_107,3.091e+00,5.056e-01,1.000e+05
ASCC_107,9.512e-02,9.512e-02,1.754e-01
ASCC_107,6.582e-01,3.621e-01,1.000e+05
ASCC_107,1.652e-01,1.030e-01,1.690e+01
ASCC_107,2.819e-01,1.167e-01,2.389e-02
ASCC_107,1.423e-01,1.276e-01,1.152e-02
ASCC_107,1.470e+00,1.434e+00,2.383e-02
ASCC_107,2.109e-01,1.263e-01,5.501e-02
ASCC_107,1.654e-01,1.100e-01,5.080e+00
ASCC_107,2.761e-01,1.613e-01,1.049e-01
ASCC_107,1.027e-01,1.014e-01,2.044e-02
ASCC_107,8.815e-01,5.087e-01,1.000e+05
ASCC_107,2.186e-01,1.821e-01,1.000e+05
ASCC_107,1.161e-01,1.014e-01,2.738e+00
ASCC_107,4.277e-01,1.911e-01,1.186e+00
ASCC_107,4.435e-01,3.928e-01,8.116e-01
